"id","luz","horas_luz","temperatura","humedad","humedad_suelo","nivel_id","fecha","etiqueta"
"6751","13450","4.84","24.59","65","601.5","1","2021-11-19 04:06:38","14"
"6752","13531","18.16","24.57","64","603.5","1","2021-11-19 04:06:43","17"
"6753","13450","8.47","24.68","64","597","1","2021-11-19 04:06:48","14"
"6754","13531","13.63","24.7","65","604.5","1","2021-11-19 04:06:53","17"
"6755","13531","1.09","24.59","65","604.5","1","2021-11-19 04:06:58","14"
"6756","13531","7.17","24.7","65","604.5","1","2021-11-19 04:07:03","14"
"6757","13450","16.29","24.73","66","604.5","1","2021-11-19 04:07:08","17"
"6758","13450","13.24","24.73","66","603.5","1","2021-11-19 04:07:13","17"
"6759","13450","5.85","24.73","66","596.5","1","2021-11-19 04:07:18","14"
"6760","13450","12.76","24.73","66","603","1","2021-11-19 04:07:23","17"
"6761","13450","3.84","24.73","66","603.5","1","2021-11-19 04:07:28","14"
"6762","13531","1.74","24.7","65","602","1","2021-11-19 04:07:33","14"
"6763","13531","16.99","24.73","66","602","1","2021-11-19 04:07:38","17"
"6764","13531","16.5","24.73","66","602","1","2021-11-19 04:07:43","17"
"6765","13450","3.89","24.81","65","595.5","1","2021-11-19 04:07:48","14"
"6766","13450","3.7","24.81","65","603.5","1","2021-11-19 04:07:53","14"
"6767","13450","11.73","24.81","65","604.5","1","2021-11-19 04:07:58","14"
"6768","13450","15.48","24.81","65","604.5","1","2021-11-19 04:08:03","17"
"6769","13450","2.46","24.81","65","605","1","2021-11-19 04:08:08","14"
"6770","13450","10.32","24.92","65","605","1","2021-11-19 04:08:13","14"
"6771","13450","10.08","24.79","64","598.5","1","2021-11-19 04:08:18","14"
"6772","13531","3.17","24.79","64","606.5","1","2021-11-19 04:08:23","14"
"6773","13531","14.54","24.81","65","607","1","2021-11-19 04:08:28","17"
"6774","14367.7","4.88","24.84","66","606.5","1","2021-11-19 04:08:33","14"
"6775","13450","10.31","24.95","66","606","1","2021-11-19 04:08:38","14"
"6776","13450","9.96","24.95","66","606","1","2021-11-19 04:08:43","14"
"6777","13450","4.7","24.81","65","604.5","1","2021-11-19 04:08:48","14"
"6778","13450","1.93","24.79","64","606","1","2021-11-19 04:08:53","14"
"6779","13450","2.67","24.79","64","606","1","2021-11-19 04:08:58","14"
"6780","14454.1","4.29","24.92","65","605.5","1","2021-11-19 04:09:03","14"
"6781","13450","18.87","24.9","64","605.5","1","2021-11-19 04:09:08","17"
"6782","13450","11.87","24.9","64","606.5","1","2021-11-19 04:09:13","14"
