1,24,66,500,14
0,24,67,500,14
15,24,68,500,17
11,24,69,500,14
0,24,68,500,14
12,24,68,500,17
15,24,70,500,17
4,24,69,500,14
18,24,69,500,17
11,24,67,500,14
13,24,67,500,17
15,24,67,500,17
12,24,67,500,17
16,24,66,500,17
12,24,66,500,17
6,24,66,500,14
5,24,66,500,14
14,24,65,500,17
0,24,65,500,14
11,24,65,500,14
9,24,65,500,14
0,24,66,500,14
13,24,66,500,17
8,24,65,500,14
16,24,65,500,17
1,24,65,500,14
7,24,65,500,14
7,24,66,500,14
17,24,65,500,17
15,24,65,500,17
10,24,65,500,14
13,24,65,500,17
6,24,65,500,14
14,24,66,500,17
2,24,67,500,14
8,24,64,500,14
11,24,64,500,14
12,24,65,500,17
0,24,65,600,14
15,24,65,600,17
9,24,65,600,14
18,24,65,600,17
16,24,64,600,17
6,24,65,600,14
10,24,65,600,14
4,24,65,600,14
15,24,64,600,17
2,24,65,600,14
12,24,65,600,17
14,24,65,600,17
11,24,65,600,14
18,24,64,600,17
13,24,65,600,17
1,24,65,600,14
7,24,65,600,14
16,24,66,600,17
13,24,66,600,17
12,24,66,600,17
3,24,66,600,14
3,24,65,500,14
3,24,65,600,14
10,24,64,500,14
3,24,64,600,14
4,24,66,600,14
10,24,66,600,14
9,24,66,600,14
1,24,64,600,14
2,24,64,600,14
11,24,64,600,14
13,24,63,600,17
12,24,63,600,17
18,24,63,600,17
15,24,63,600,17
0,24,63,600,14
11,24,63,600,14
2,24,63,600,14
14,24,63,600,17
14,24,62,600,17
15,24,62,600,17
16,24,61,600,17
13,24,61,600,17
3,24,62,600,14
10,24,63,600,14
6,24,64,600,14
16,24,63,600,17
8,24,63,600,14
4,24,64,600,14
12,24,64,600,17
0,25,64,600,14
13,24,62,600,17
5,24,63,600,14
13,25,64,600,17
7,25,65,600,14
14,24,64,600,17
14,25,64,600,17
9,25,64,600,14
4,25,65,600,14
11,25,66,600,14
12,25,65,600,17
16,25,65,600,17
12,25,64,600,17
5,25,63,600,14
12,25,63,600,17
11,25,64,600,14
16,25,63,600,17
4,25,63,600,14
17,25,63,600,17
13,25,62,600,17
13,25,63,600,17
17,25,65,600,17
8,25,65,600,14
14,25,63,600,17
8,25,63,600,14
6,25,64,600,14
1,25,64,600,14
3,25,63,600,14
6,25,63,600,14
15,25,64,600,17
16,25,64,600,17
15,25,63,600,17
0,25,63,600,14
7,25,62,600,14
4,25,62,600,14
9,25,62,600,14
6,25,62,600,14
3,25,65,600,14
13,25,65,600,17
9,25,63,600,14
10,25,63,600,14
18,25,63,600,17
16,25,62,600,17
14,25,62,600,17
12,25,62,600,17
8,25,62,600,14
0,25,61,600,14
15,25,61,600,17
14,25,61,600,17
13,25,61,600,17
11,25,61,600,14
12,25,61,600,17
7,25,61,600,14
10,25,61,600,14
16,25,61,600,17
9,25,61,600,14
4,25,61,600,14
12,24,62,600,17
10,25,62,600,14
11,25,63,600,14
2,25,62,600,14
7,25,63,600,14
3,25,64,600,14
2,25,63,600,14
11,25,62,600,14
1,25,63,600,14
18,25,62,600,17
15,20,89,600,19
14,20,88,600,19
5,20,88,600,8
17,20,89,600,19
11,20,90,600,8
0,20,89,600,8
12,20,88,600,19
4,20,88,600,8
14,20,87,600,19
8,20,87,600,8
15,20,87,600,19
16,20,87,600,19
0,20,88,600,8
13,20,88,600,19
7,20,89,600,8
14,20,89,600,19
14,20,90,600,19
1,20,90,600,8
16,20,88,600,19
15,20,86,600,19
8,20,86,600,8
18,20,85,600,19
2,20,85,600,8
15,20,84,600,19
6,20,82,600,8
14,20,80,600,19
12,20,81,600,19
15,20,79,600,19
16,20,79,600,19
15,20,80,600,19
10,20,81,600,8
0,20,78,600,8
3,20,79,600,8
13,20,80,600,19
0,20,80,600,8
1,20,81,600,8
7,20,81,600,8
2,20,81,600,8
15,20,82,600,19
13,21,82,600,19
2,21,82,600,8
5,21,81,600,8
4,21,80,600,8
9,21,79,600,8
9,21,80,600,8
